,975,980,981,982,983,984,985,987,990,996,1003,1006,1008,1009,1010,1013,1016,1025,1029,1043,1052
975,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1
981,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
990,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1
996,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1
1003,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1
1010,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
